"Brand_Reg","Mean(Avg_mode_power)"
"AIWA",63.094181818181816
"AKAI",59.2854814814815
"AOA",43.578
"Altius",19.8032
"Avel Innovations",29.236666666666668
"BAUHN",71.08123529411765
"BELGIQUE",44.91571428571429
"BLAUPUNKT",88.61646268656715
"BREWO",26.23
"Blaupunkt",110.10900000000001
"Brooklyn",33.5
"CAIXUN",41.09
"CHiQ",89.56538461538464
"COOCAA",143.6
"Caixun",31.072195121951214
"DEVANTI",203.37
"DGTEC",87.10914285714286
"Dynalink",19.8
"EKO",100.1341326530612
"EMETE",182.03399999999996
"ENGLAON",41.20235294117648
"FFALCON",55.74285714285715
"FPD",31.68
"FURRION",27.035
"Gorilla",35.5
"HISENSE",125.70977207977211
"HYUNDAI",97.84166666666667
"Hubbl",64.71
"Hubbl Glass",57.72
"ILUMA",31.23
"JVC",77.19947289719626
"KOGAN",87.67373240740736
"KONKA",58.709999999999994
"Kodak",64.5928
"Kogan",121.53022980769228
"LG",128.1839469808541
"LOEWE",83.96944444444443
"LSP TV",16.1569
"Linsar",84.39041176470589
"METZ",102.564
"MITSUMARU",19.5
"MYVI",26.256
"Monster",17.4625
"PHILIPS",101.74807017543861
"PRISM+",109.5415
"Palsonic",105.43
"Polaroid",52.22466666666667
"Q.Bell",34.8
"QBELL",77.89625
"RCA",23.89
"S VISION",103.3
"SAMSUNG",144.83966244725735
"SAMSUNG ELECTRONICS",155.43131868131897
"SHARP",97.335
"SKYWORTH",77.442
"SMARTTECH",68.06333333333333
"SMTV",91.2938
"SONIQ",92.076
"SONY",157.72567567567566
"SVISION",68.56540000000001
"SYLVOX",85.62157175257735
"Samsung",136.13764976958527
"ShareTV",28.1
"Shenzhen Xinchaoda Technology Co., Ltd",103.045
"Signify",98.268
"Smarttech",30.85
"Sony",127.02352941176473
"Spark Electronics",233.45119999999997
"Sphere",22.766923076923078
"Stan Cash",16.1569
"Sylvox",42.624705882352934
"TAVICE",130.03
"TCL",141.42016129032257
"TEAC",48.277499999999996
"TECO",51.077
"TELEFUNKEN",49.49999999999999
"TENET",15.3
"THOMSON",73.55666666666667
"TOSHIBA",108.11089285714284
"UNIDEN",19.166666666666668
"VDT",20.64
"VEON",62.24818181818182
"Veon",57.9
"WALTON",33.92666666666666
"WINTAL",19.4
"Yokohama",20.24
"ZEN TV",29.3275
"coocaa",66.76666666666667
"digitech",24.979999999999997
"kogan",109.91803571428566
"yokohama",111.815
