"Brand_Reg","Count*(Submit_ID)"
"AIWA",44
"AKAI",27
"AOA",5
"Altius",5
"Avel Innovations",3
"BAUHN",85
"BELGIQUE",7
"BLAUPUNKT",67
"BREWO",1
"Blaupunkt",2
"Brooklyn",1
"CAIXUN",12
"CHiQ",52
"COOCAA",1
"Caixun",41
"DEVANTI",1
"DGTEC",14
"Dynalink",1
"EKO",98
"EMETE",55
"ENGLAON",34
"FFALCON",35
"FPD",3
"FURRION",4
"Gorilla",2
"HISENSE",351
"HYUNDAI",6
"Hubbl",1
"Hubbl Glass",2
"ILUMA",14
"JVC",107
"KOGAN",216
"KONKA",8
"Kodak",5
"Kogan",416
"LG",679
"LOEWE",36
"LSP TV",1
"Linsar",34
"METZ",5
"MITSUMARU",1
"MYVI",5
"Monster",4
"PHILIPS",114
"PRISM+",8
"Palsonic",1
"Polaroid",12
"Q.Bell",1
"QBELL",8
"RCA",1
"S VISION",1
"SAMSUNG",237
"SAMSUNG ELECTRONICS",728
"SHARP",10
"SKYWORTH",15
"SMARTTECH",3
"SMTV",5
"SONIQ",1
"SONY",74
"SVISION",5
"SYLVOX",97
"Samsung",217
"ShareTV",1
"Shenzhen Xinchaoda Technology Co., Ltd",4
"Signify",1
"Smarttech",2
"Sony",17
"Spark Electronics",25
"Sphere",13
"Stan Cash",1
"Sylvox",34
"TAVICE",1
"TCL",124
"TEAC",12
"TECO",10
"TELEFUNKEN",17
"TENET",1
"THOMSON",3
"TOSHIBA",56
"UNIDEN",3
"VDT",1
"VEON",11
"Veon",3
"WALTON",24
"WINTAL",1
"Yokohama",1
"ZEN TV",4
"coocaa",3
"digitech",9
"kogan",112
"yokohama",2
